Trading Partners,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sept-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sept-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sept-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sept-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sept-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sept-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sept-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sept-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sept-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sept-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sept-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sept-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sept-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sept-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sept-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sept-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sept-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sept-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sept-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sept-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sept-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,129","15,312",0,0,0,"3,344","66,953",0,"8,573","52,105",0,"116,575","2,646","9,771",0,0,"53,597",0,"28,710","53,597",0,0,"55,645",0,0,"84,075","78,342",0,"2,212","61,958",0,"64,550",0,"21,973",0,0,0,0,0,"1,795",0,0,0,0,0,0,0,0,"1,226",0,0,0,0,0,0,0,0,0,0,0,"27,531",0,195,0,"2,766","22,016",0,"81,648",0,0,0,27,"102,082",0,"49,777",0,0,0,"1,717","5,544",0,0,0,0,0,0,"3,112",0,0,"102,609",0,0,0,"4,656",0,"43,937",0,"2,240",0,"67,392","135,084","67,542",0,0,"4,938","67,392","11,224","134,934","7,788","246,702",0,0,"20,157","1,350",0,0,"9,570","23,421",0,"133,881",0,0,"49,405",0,0,0,"12,080",0,0,0,"3,974",0,0,184,"10,730",0,"5,236",0,"186,313","90,668","307,061","112,660","136,882","507,710","771,784","823,059","419,483","644,581","975,005","188,695","682,994","510,378","392,553","721,388","91,575","418,497","357,480","285,978","384,998","438,505","623,578","706,787","548,087","636,772","342,065","488,046","31,917","325,230","16,465","217,349","149,170","509,078","359,842","136,341","563,507","429,266","30,586","394,649","106,492","782,035","272,580","400,966","276,295","771,831","539,501","186,450","718,459","678,352","356,765","133,726","739,304","521,188","441,194","811,744","190,037","188,846","263,702","914,699","25,281","699,697","528,756","1,057,225","935,148","402,750","717,398","261,896","128,333","628,419","742,580","531,183","141,435","225,863","262,648"
Denmark,"180,818","360,666","11,553","180,197",0,0,0,"178,117","177,983","543,606","347,153","178,069",0,0,0,194,0,0,0,0,0,"4,000",0,0,0,0,0,0,0,0,0,0,0,0,"27,056",0,0,0,0,0,0,"181,709","181,359","192,640",0,"180,940","180,950","180,950",0,"359,143",0,"179,781",0,"180,560",0,"214,773","360,614","180,307",0,"179,898","179,313",0,"180,015","191,597",0,"179,917",0,"178,885",0,"180,336","299,505",0,"179,596","179,469",0,"192,582",0,"265,320","632,777",0,0,"10,704","336,367","349,922",0,"312,930","342,280",0,"145,000","341,028",0,"14,247",0,0,0,"156,260","156,729",0,"340,215","102,059","20,615",0,0,0,0,0,"1,190",0,"28,170",0,0,0,0,0,0,0,0,0,0,0,0,"28,170",0,0,0,0,0,0,0,0,0,0,"32,832",0,0,"141,569",0,0,0,0,0,0,0,0,0,0,"32,832",0,0,0,0,0,0,0,0,0,0,0,"9,234","32,832",0,0,0,0,0,0,0,"32,832",0,0,0,0,0,0,0,0,0,0,0,0,"66,662","505,701","197,208","76,451","490,349","393,576","258,206","337,444","468,677","825,076","244,031","153,301","153,630","538,919",0,0,"1,039,767","426,767","98,634","103,090","175,315","1,000,922","772,458","19,765","199,231","542,570","490,693","324,895","318,629","102,336","276,490","180,678","825,670","241,947","619,480","262,452","645,864","1,158,603","214,485","35,112",0,"415,996","286,389","270,749","1,292,746","720,666","357,031","820,293","784,440","207,683","653,266","597,129","407,927","891,220","1,439,440","560,030","582,278","286,729","376,506","737,205","266,458","245,821","153,507","746,790","991,454","227,069","1,420,740","861,838","60,592","891,712","1,650,246","290,708",0,"1,028,635"
France,"111,828",0,0,0,"110,559",0,0,0,0,"10,788","187,461","21,947","202,735",0,"113,300","2,217","80,494","225,150",0,"17,730","113,717","5,400","122,522","8,602","113,717",0,"113,775","101,072","122,291",21,0,"125,801","1,262","4,754",22,"1,392","10,051",375,"17,996","12,008",0,"115,701",0,"29,402",588,"4,213","8,636","8,544","75,771","8,516","17,088","30,219","9,805","19,816","9,766","9,963",0,"17,850","2,203","101,289","11,686","17,442","47,297",0,"17,574","22,834","8,416",175,"17,442",905,"95,607","28,662","1,422","18,311",0,"19,400","2,053","42,820",108,660,0,"20,322","45,255",0,"33,597",920,"133,377",0,0,350,"21,002","20,525","202,114","204,970","21,384",0,"2,504",240,"24,803","3,747","1,012",0,"22,800","23,876",249,0,464,"1,517",0,"23,112","11,599","14,533","1,945","2,837",708,"20,796",0,0,"20,200",0,"24,497","1,748","1,081","51,317","38,866",0,0,"3,945","8,921","20,765","1,224","37,355","22,896","1,080","176,345","22,770","161,649","31,160","17,817","50,741","3,726","17,425","19,580","166,106",300,"1,179","48,816","22,236","24,664","27,808","7,102","2,967","24,869","40,229","6,060","10,638","13,836","27,864",768,"26,082","33,147","20,765","33,276","12,953",914,"33,951","9,070","140,842",0,"31,309","22,831","21,616","50,883","23,375","6,986","31,892","15,685","34,711","6,860","104,213","165,333","267,608","308,581","405,853","258,471","314,364","664,748","180,344","207,637","426,982","360,212","711,446","525,257","155,339","150,513","596,877","572,388","139,825","374,653","224,539","108,601","977,831","209,576","922,881","398,250","639,322","606,485","130,100","1,209,898","961,157","853,437","522,790","1,915,723","1,767,787","2,596,577","1,335,742","783,612","1,323,904","700,114","1,325,896","889,859","837,529","287,143","432,973","2,529,207","1,792,168","2,548,459","1,780,524","856,555","1,914,527","2,272,230","2,629,377","1,649,513","3,073,935","2,274,835","633,827","1,296,881","2,813,551","1,673,319","2,423,933","1,956,761","984,236","1,794,457","2,095,694","3,593,297","1,219,309","1,480,070","3,025,745","2,932,403","1,222,058","2,137,901","1,619,533","1,530,779","1,598,999"
Germany,0,0,0,0,0,0,0,0,0,"2,346","7,656",0,"1,733",0,0,0,"1,130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"98,690","87,246",0,"8,121",0,0,0,0,0,0,"18,616",0,"47,100",0,"95,460",0,0,0,0,0,512,"122,070",0,0,0,"102,921",0,"69,268",0,0,0,0,0,0,"7,867",0,0,0,259,0,0,0,0,0,0,0,0,"6,393",0,365,"104,363","4,118",0,"50,633","87,527","124,179","49,831",480,"211,421","38,040",0,"229,846",0,"31,221",0,0,0,"22,838","199,756","11,419",0,0,"199,320",0,0,0,0,"205,134",0,0,0,"205,549",0,0,0,"107,361",0,0,"161,337","192,174",0,"157,491","88,893","2,417",0,"158,004",0,"158,004",0,4,0,"32,575",0,0,0,"158,004",0,0,108,"158,004",4,0,0,"158,470","186,191",0,0,0,0,0,"158,004",0,"212,442",0,0,"301,119","9,720","9,441",0,0,0,"243,450","158,004",0,"187,953","863,466","2,489,676","1,846,242","2,088,606","1,604,250","2,724,564","2,148,893","872,113","2,115,404","1,731,399","2,273,644","1,855,452","1,974,970","1,341,916","2,856,060","3,475,260","2,542,367","2,556,213","2,557,576","2,064,271","1,327,575","1,965,797","2,403,037","2,025,016","2,839,136","2,283,285","4,077,578","2,129,645","3,983,174","2,726,215","2,823,919","2,031,648","1,534,024","3,250,878","2,723,152","2,367,949","2,209,015","2,387,007","2,728,565","4,375,124","3,451,060","4,015,276","4,494,323","2,023,885","2,453,381","4,374,742","3,147,553","4,918,355","4,306,224","3,714,677","4,638,738","4,057,104","3,060,624","5,234,302","4,265,888","3,989,427","3,876,961","3,832,755","2,814,406","1,540,512","1,242,007","2,947,489","4,911,868","1,884,412","3,410,015","3,192,443","3,042,450","2,401,961","2,593,550","4,652,161","4,063,846","5,050,519","2,356,352","5,237,488"
Italy,0,0,0,0,0,0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,844","6,533",0,0,0,0,0,0,0,0,0,0,0,"7,897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,648",0,0,0,0,0,0,0,0,0,0,"48,000",0,"15,312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,632",0,"90,368","11,981","128,614","85,144","123,553","22,618","51,889","33,926","167,952","152,198","158,918","205,993","25,149",0,"152,509","125,073","57,442","72,366","64,159","223,165","58,590","243,470","54,846","133,781","66,461","123,634","11,981","235,106","106,860","253,681","343,633","208,659","2,567","141,823","150,314",0,"219,029","59,767","308,867","171,309","267,419","81,661",0,"236,819","52,680","261,002","105,384","81,235","155,117","440,922","459,463","160,758","576,581","159,183","16,294","499,855","428,309","321,720","304,046","321,768","198,808","232,421","448,665","282,556","297,415","160,916","124,553","278,977",0,"267,752","211,450","141,103","2,747"
Japan,"88,085","185,630","74,652",0,"60,391","45,117","53,217","41,414","109,045","57,020","45,650",0,0,"5,200","16,320","29,682","89,897",0,"1,430",0,0,"81,607","46,649","125,315",0,"68,492","76,866","54,267","44,118","205,670","150,853","89,683","177,025","8,149","6,052","73,647","7,255",0,"79,056","106,776","82,534","468,027","373,821","318,090","93,047","345,496","272,701","170,411","89,296","161,074","155,087","142,305","319,539","75,510","155,622","284,453","273,022","200,253","113,073","464,275","205,376","101,273","266,091","200,931","237,863","211,798","269,475","404,616","311,076","619,180","335,102","358,364","230,652","167,286","415,888","128,387","336,316","313,445","743,971","288,179","625,371","2,963","494,302","214,995",0,"244,332","246,503","188,245","180,018","379,646","139,504","168,983","168,881","75,901","205,220","3,348","305,608","309,010","411,213","17,640","250,094","132,932","368,351","67,100","116,081","154,827","13,513","290,547","193,976","137,063","394,445",0,"195,456","179,955","274,795","59,242","65,984","313,698","6,295","385,142","48,485","235,159","234,279","120,064","245,584","109,997","41,382","192,502","128,830","528,509","3,550","150,449","109,553","78,989","21,242",0,"101,400","6,000","204,132","74,755","142,546","148,199","322,977","77,171","156,388","263,909","97,939","61,077","148,848","231,202","371,852","128,880","147,408","178,992","219,461","316,421","171,476","34,411","133,788","99,957","101,209","123,690","281,638","263,046","134,595","132,237","345,793","125,820","245,936","158,156","188,866","21,570","126,624","283,314","171,027","240,741","316,877","65,128","191,070","288,556","256,469","574,618","1,106,831","454,467","657,212","1,563,300","743,463","584,330","1,058,536","1,302,271","701,258","506,144","679,224","641,798","559,103","906,917","569,619","780,518","666,080","587,698","518,429","784,851","1,158,095","1,268,431","309,522","708,054","808,997","685,680","991,946","478,028","686,128","396,936","907,904","903,697","1,102,796","699,968","589,955","520,905","949,467","1,044,175","1,179,640","820,524","1,195,265","813,595","668,976","662,089","1,114,626","1,020,165","744,936","1,227,282","1,677,938","1,229,053","1,511,947","1,861,992","883,470","1,495,722","1,104,029","840,869","357,426","1,071,127","1,098,159","883,213","745,971","1,725,517","1,208,251","1,782,194","1,743,928","505,847","728,220","773,290","654,805","1,337,956","1,209,798","1,059,798"
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,517",0,"14,354",0,0,0,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,890,0,0,0,0,0,"7,350",0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,566,0,0,0,0,538,538,777,0,900,"1,076",360,0,0,"1,346",0,0,0,0,0,0,0,807,"1,140",0,0,0,0,0,380,0,0,"7,284",0,0,"1,140","2,673","3,800",0,0,"2,673",0,"2,341",0,0,0,0,61,"2,673","24,162",0,0,0,0,0,"1,368",0,0,"1,368",0,0,0,61,"1,368",0,0,"1,140",0,0,"5,194",456,0,684,912,0,"4,956",0,"1,523","2,164",0,0,"5,134","37,838","74,479",0,0,"35,729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"250,139","325,475","104,474","147,994","414,432","192,908","143,110","216,214","338,795","78,324","245,664","46,132","205,552","105,211","289,382","438,157","161,222","233,591","230,282","319,551","226,140","252,045","442,556","103,800","200,916","188,559","187,015","256,154","348,907","277,010","104,693","211,255","170,809","181,396","307,921","216,533","400,439","173,398","185,874","592,603","516,090","569,142",0,"176,975","270,831","521,363","105,268","214,627","121,020","270,652","656,321","388,380","517,227","259,790","453,672","227,786","330,062","800,332","394,206","179,007","309,782","466,561","312,121","650,366","240,285","391,723","434,486","146,813","391,659","460,700",0,"370,255","151,975"
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,692",0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,"24,856",0,0,0,0,"6,561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,240",0,0,0,0,0,"14,261",0,0,0,0,0,0,"3,355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,"18,594","73,342","31,799","3,560",0,0,"5,850","4,074","154,884",0,0,"200,320","128,530",0,"4,890",0,"256,822","37,060",0,"21,190",0,0,0,0,0,0,0,"170,100",0,0,0,"3,260","39,299",0,"16,300",0,0,"7,172","48,461",0,"9,266",0,"84,240","3,260",0,"97,729",0,0,0,0,"58,500",0,614,0,"31,590",326,0,"31,598",0,"24,785","183,655","505,759","95,846","58,769","22,411","71,178","149,003","58,500","9,780","79,742","82,554","79,389","110,559","75,726","41,186","85,692","20,001",0,"151,328","73,607","11,847",0,0,"53,026","3,008",0,"63,576","20,109","26,611","47,992","27,401","28,865","145,138",0,"5,497","35,162","185,891",0,"160,191","556,729","204,149","236,886","198,532","536,892","288,391","75,860","75,812","114,381","94,895","211,370","290,886","83,833","241,033","142,128","320,162","8,789","26,514","187,169","318,035",0,"153,280","270,658","267,761","277,333",0,"128,707",0,"33,624","133,056","60,936","80,761","62,497"
United Kingdom,0,0,"180,013",0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,"42,720",0,0,0,0,0,0,0,0,468,0,0,0,0,0,20,0,"230,310","347,907","336,669","122,877","1,495,952","1,281,949","122,877","413,289","234,832","215,797","68,750","465,565","296,487","220,935","395,760","474,907","667,849","141,295","773,224","587,364","104,775","181,566","366,500","341,944","328,292","287,109","188,705","844,338","507,900","1,090,201","654,935","579,700","101,040","251,031","572,666","189,234",0,"5,961","5,961",0,0,0,0,"10,537",0,0,0,0,0,0,0,"119,423",0,"7,082",0,0,0,0,0,0,0,0,"21,244",0,"12,589",0,156,0,0,0,"4,131",0,0,0,0,"86,346",0,"78,598",0,"7,194",0,0,0,"84,744","5,089","23,007",0,900,0,0,"42,000","28,150",0,0,"14,726",0,0,0,0,0,"1,579","3,407",0,0,"5,890",0,0,"3,385","2,087",0,"1,061","15,000",0,"18,232","23,400","11,684",0,"16,168",995,0,"29,964",621,"4,164",0,"31,209",0,0,"3,250",0,0,"8,415",0,0,0,"71,675",0,0,0,"149,465","205,811","209,731","43,128","651,645","252,520","135,842","511,111","133,103","412,105","476,930","735,810","900,102","803,065","146,734","583,932","82,446","286,079","156,855","215,170","307,105","438,370","565,032","482,969","430,363","650,593","549,035","667,833","64,366","242,406","138,420","359,176","179,532","668,111","1,128,811","862,003","590,751","966,775","522,360","828,003","809,397","1,265,198","1,264,792","1,146,399","400,054","1,225,639","1,054,275","1,443,438","821,629","1,064,008","1,332,369","1,397,996","341,705","335,419","744,872","586,678","1,561,606","1,013,312","1,349,621","1,801,347","1,580,604","1,104,500","1,131,336","1,714,056","793,070","211,910","61,549","422,811","80,190","527,854","737,611","2,270,819","1,512,298","1,142,173","509,356"
United States,0,0,0,"63,213","8,410",0,0,"3,437","11,585","40,635","16,147","3,552",0,"6,896",0,0,0,"69,646",0,"77,367","8,852","25,959","20,760",0,0,"56,221","56,191",0,"9,776","108,402","55,560","3,103","136,439","29,216","53,924","87,942",0,"6,076","10,144",0,"12,348","18,172",0,"33,480","5,127","274,255","22,046","17,727","32,280","8,145","98,300","19,791","37,587","21,139","127,741","112,880","390,574","16,991","9,227","127,917","9,807","124,456","30,236","99,346","25,083","23,556","97,664","37,267","238,062","33,583","18,055","54,559","10,705","24,895","12,322",0,"43,141","13,823","20,988","69,815","70,605","210,154","15,626","99,930","20,976","26,176","13,832","17,208","22,299","32,681","202,636","31,614","42,445","24,805","57,716","22,330","47,768","37,620","83,055","48,540","23,135","29,122","31,719","5,100","42,520","26,529","40,149","31,721","48,379","10,088","38,761","27,146","52,798","93,803","27,962","14,246","46,845","52,855","204,276","35,966","57,847","218,738","533,161","189,773","52,817","124,748","33,427","23,821","117,385","21,232","25,085","37,833","56,859","62,519","39,358","48,484","54,159","52,545","8,205","28,358","35,488","40,536","52,064","52,671","59,478","104,145","134,229","61,255","58,318","17,663","157,185","55,286","58,275","101,433","64,078","38,643","106,771","28,475","126,916","154,112","129,244","101,418","220,322","176,219","149,687","335,251","73,484","53,085","121,165","242,243","281,569","102,720","46,715","159,073","108,507","51,575","90,605","201,993","117,004","55,343","123,758","52,620","104,663","111,277","17,171","134,366","129,589","222,935","186,121","301,802","74,687","204,525","33,255","125,623","208,553","180,866","55,113","193,826","504,767","266,582","64,574","178,353","226,818","308,310","23,083","34,134","70,594","344,569","309,817","352,250","492,169","105,000","105,046","37,147","298,102","93,983","177,027","125,563","381,589","375,174","183,483","285,916","98,002","208,171","427,040","488,790","249,798","174,396","207,535","199,757","123,918","128,185","76,329","84,039","214,989","57,897","219,398","138,134","433,290","207,562","348,975","811,181","991,439","593,000","713,853","512,307","197,199","389,064","397,142","258,180","324,975","552,655","9,390,691","9,167,541"
